ramp_PG_sa_lr1,ramp_PG_sa_lr0.1,ramp_A3C_sa_lr1,ramp_A3C_sa_lr0.1,ramp_A3C_sa_lr0.01,ramp_PPO_sa_lr5e-5,ramp_PG_ma_lr0.01,ramp_A3C_ma_lr0.01,ramp_PPO_ma_lr0.1,ramp_PPO_ma_lr5e-5,,,ramp_len100_pos300,ramp_len150_pos300,ramp_len200_pos300,ramp_len200_pos200,ramp_len200_pos250,ramp_len200_pos350,ramp_len250_pos300,ramp_turn
-24129.51439,-23728.44923,-53071.28721,-97247.2875,-23939.32721,-14662.44521,-13121.88521,-58114.91142,-24917.79143,-1998.177804,,,-6013.864252,-1967.250936,-6109.350287,-5568.009441,-5728.537522,-6519.447569,-7374.270372,-287.0796053
-24006.03616,-23696.85654,-53071.28721,-97247.2875,-23939.32721,-14013.75892,-13744.36517,-55268.63257,-25152.87987,-1807.397908,,,-6172.354811,-1857.382964,-6124.772,-5734.200419,-4993.916864,-6581.856758,-7012.806141,-273.3371877
-24288.92847,-23879.7024,-53071.28721,-79106.6602,-23939.32721,-13566.43578,-12363.74421,-55268.63257,-24920.10372,-1899.400388,,,-5579.257726,-1809.849404,-5769.763354,-5228.807872,-4987.62526,-5953.456431,-7302.587923,-253.8168364
-23960.92196,-23692.30709,-53071.28721,-79106.6602,-23939.32721,-13477.98804,-10181.13222,-55268.63257,-25578.94271,-1796.451003,,,-5337.394852,-1812.851305,-5264.167571,-5522.37535,-4969.792184,-5723.657024,-7130.592396,-246.6211587
-24371.88628,-23880.82644,-53071.28721,-79106.6602,-23939.32721,-13524.45593,-9340.514471,-55268.63257,-25253.00527,-1787.920706,,,-5191.390366,-1872.232089,-5369.214186,-5008.915393,-4818.485964,-5985.465402,-6779.339505,-250.4196812
-24208.39712,-23743.33201,-53071.28721,-79106.6602,-23939.32721,-12978.48,-9447.760076,-52609.18087,-24949.35902,-1857.613633,,,-5274.287985,-1791.659374,-6072.088218,-5024.886523,-4597.514534,-5546.965277,-6477.343422,-240.2309239
-24534.22074,-23894.06432,-53071.28721,-79106.6602,-23939.32721,-12545.87987,-10610.84606,-48863.82005,-24966.58213,-1758.898148,,,-4892.611311,-1785.011442,-5422.850083,-4958.127203,-4440.060068,-5291.468435,-6085.078545,-231.4036229
-24220.46884,-23881.27056,-53071.28721,-79106.6602,-23939.32721,-12430.26501,-12509.82225,-47152.59082,-25124.38951,-1725.817131,,,-4826.791369,-1734.871532,-5670.814153,-4416.711135,-4079.204162,-4809.666859,-5527.64799,-226.1663283
-24149.71317,-23875.59574,-46833.99201,-79106.6602,-23863.10041,-11807.24298,-15032.05722,-47152.59082,-25154.53064,-1664.556516,,,-4850.660182,-1866.142414,-5441.093775,-4060.88412,-3892.751927,-4683.851155,-5424.692341,-220.0130505
-24349.33603,-24032.18191,-44691.91601,-79106.6602,-23792.73753,-11322.25506,-17655.10608,-47152.59082,-25379.79367,-1637.372498,,,-4525.284284,-1925.60357,-5453.929328,-4216.560444,-3911.826723,-4425.852597,-5489.47228,-218.31286
-24639.46627,-23849.25958,-42999.97838,-72978.47014,-23792.73753,-11084.92053,-20075.02215,-47152.59082,-25286.24984,-1681.019861,,,-4517.831332,-1954.784685,-5018.222213,-4267.494589,-3970.742014,-4583.622279,-5435.779034,-209.7657946
-24477.93273,-23900.14647,-42999.97838,-68529.90349,-23792.73753,-10583.95836,-20907.65209,-45738.1157,-24756.78072,-1563.701286,,,-4199.885231,-1912.725964,-4703.049277,-4212.370855,-3751.175105,-4387.261369,-5451.572755,-205.104383
-24458.22731,-23144.83877,-42999.97838,-68529.90349,-23792.73753,-10526.83525,-21499.15136,-43621.97447,-25132.06342,-1621.276483,,,-4214.123631,-1892.686689,-4682.374822,-4183.311772,-3642.429213,-4362.048923,-5240.628131,-195.2647521
-24134.443,-22243.72265,-42999.97838,-64437.47951,-23792.73753,-10429.17821,-20288.61216,-42755.70505,-25207.29452,-1665.908536,,,-4000.455586,-2109.68216,-4624.688629,-3931.245801,-3640.223821,-4203.080345,-5052.143086,-197.0730155
-24181.08223,-26005.46862,-42999.97838,-61224.88092,-23792.73753,-10338.47078,-19115.00119,-42755.70505,-25042.67206,-1645.857316,,,-3799.699212,-2038.924872,-4454.000267,-3945.378861,-3612.552393,-4288.388817,-5055.11023,-194.1948991
-24113.89528,-24413.48378,-42999.97838,-61224.88092,-23792.73753,-10096.83177,-17094.00685,-42755.70505,-25038.47145,-1581.715552,,,-3921.597605,-2132.304284,-4410.025184,-3812.585451,-3495.924831,-4104.278894,-4894.469382,-180.0875926
-24097.68772,-24179.50082,-42999.97838,-61224.88092,-23792.73753,-9990.941292,-13995.55877,-42755.70505,-25084.17964,-1597.604611,,,-3706.042258,-2043.600819,-4387.516176,-3824.622205,-3469.913142,-4034.989105,-4669.816613,-202.4588715
-24015.17452,-24123.1672,-42999.97838,-61224.88092,-23792.73753,nan,-11805.27015,-41946.66586,-25226.47865,-1565.900917,,,-3756.983288,-1874.624461,-4282.133333,-3790.072529,-3474.075605,-3955.891764,-4799.00237,-190.8742227
-23991.4208,-24241.32293,-42999.97838,-61224.88092,-23792.73753,nan,-10328.56437,-40416.23327,-25249.40724,-1574.644268,,,-3722.131403,-1743.412192,-4027.379283,-3543.999722,-3297.119826,-3806.630786,-4877.618013,-191.41692
-23874.59662,-24161.33164,-40429.93346,-61224.88092,-23619.28999,nan,-9446.282405,-39771.9953,-24927.84568,-1538.983381,,,-3631.051934,-1950.271196,-4112.838397,-3660.438821,-3106.00188,-4000.185628,-4747.912267,-194.3895991
-24214.26391,-24283.63861,-38313.52308,-61224.88092,-23585.87413,nan,-8582.12219,-39771.9953,-25397.49891,-1479.394267,,,-3692.441726,-1860.555964,-3975.78929,-3572.376769,-3241.220483,-3857.102664,-4569.407632,-199.9592285
-24445.67312,-24377.14662,-38313.52308,-58184.56717,-23580.97906,nan,-7495.22449,-39771.9953,-24941.95197,-1493.399359,,,-3632.608054,-1773.194065,-3945.504251,-3648.331408,-3326.531163,-3975.750498,-4392.882328,-206.9158494
-24144.64786,-24458.73976,-38313.52308,-58184.56717,-23580.97906,nan,-7340.475696,-39771.9953,-25054.0416,-1566.245071,,,-3564.363449,-1877.985661,-3953.815118,-3611.921972,-3241.247865,-4166.068372,-4441.786503,-182.3314999
-24237.50593,-23985.57145,-38313.52308,-55860.04399,-23580.97906,nan,-6746.047317,-39199.86099,-25017.17446,-1425.907689,,,-3650.734792,-1832.38463,-4141.412028,-3686.972397,-3180.015199,-3939.409947,-4547.062506,-182.1117502
-24307.04117,-24205.11469,-38313.52308,-55860.04399,-23580.97906,nan,-6736.906129,-38006.72272,-25201.2782,-1530.008193,,,-3598.439884,-1882.394508,-3975.8643,-3476.228436,-3114.692477,-4011.463234,-4519.997168,-197.1235783
