episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,policy_reward_mean/tl,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/tl/cur_kl_coeff,info/learner/tl/cur_lr,info/learner/tl/total_loss,info/learner/tl/policy_loss,info/learner/tl/vf_loss,info/learner/tl/vf_explained_var,info/learner/tl/kl,info/learner/tl/entropy,info/learner/tl/entropy_coeff
-22849.718378347196,-28264.121032269974,-25068.91566579715,3000.0,99,300000,False,300000,99,1,0a89ac3b1b034104936351c768f5b0dd,2020-03-24_15-15-55,1585077355,3265.679088830948,3265.679088830948,19633,153smart-06,132.206.238.54,3265.679088830948,300000,1,2,452a8f64,-6267.228916449288,20.083387623914962,0.5647672119981164,0.533563267782999,1200000,300000,3180865.833,624.084,83535.44,361.503,40.12461373390558,32.55448497854078,0.20000000298023224,4.999999873689376e-05,3071.29248046875,-0.0001758472208166495,3071.292724609375,0.06233108043670654,0.0004696273244917393,1.4200819730758667,0.0
-22668.423980721473,-27853.783361468417,-24938.638902748997,3000.0,100,300000,False,600000,199,2,0a89ac3b1b034104936351c768f5b0dd,2020-03-24_16-08-05,1585080485,3130.2797663211823,6395.95885515213,19633,153smart-06,132.206.238.54,6395.95885515213,600000,2,2,452a8f64,-6234.659725687251,19.65578517585091,0.5591649494483018,0.516336772704404,2400000,600000,3113112.19,520.554,83885.381,181.962,27.92243116185359,30.56816655473472,0.10000000149011612,4.999999873689376e-05,3031.595947265625,-0.000211560312891379,3031.595947265625,0.11551409214735031,0.0008386991103179753,1.4151822328567505,0.0
-21609.59803054073,-27578.37932191704,-24957.396176394635,3000.0,100,300000,False,900000,299,3,0a89ac3b1b034104936351c768f5b0dd,2020-03-24_16-59-38,1585083578,3092.3493416309357,9488.308196783066,19633,153smart-06,132.206.238.54,9488.308196783066,900000,3,2,452a8f64,-6239.349044098657,19.426674788125105,0.5572030605478723,0.5098120544916934,3600000,900000,3077864.74,472.228,84034.628,122.118,27.906752775889416,30.77967369136642,0.05000000074505806,4.999999873689376e-05,2981.13134765625,-0.00035899318754673004,2981.131591796875,0.15715500712394714,0.0019563420210033655,1.4098012447357178,0.0
-21952.343015964878,-27432.422790607525,-24567.61140029924,3000.0,100,300000,False,1200000,399,4,0a89ac3b1b034104936351c768f5b0dd,2020-03-24_17-50-35,1585086635,3056.9544970989227,12545.262693881989,19633,153smart-06,132.206.238.54,12545.262693881989,1200000,4,2,452a8f64,-6141.902850074805,19.255288508126114,0.5561307222402412,0.5060267024353782,4800000,1200000,3051464.359,455.542,84029.415,92.054,27.898188904172397,30.77551581843191,0.02500000037252903,4.999999873689376e-05,2859.363525390625,-0.0003929082886315882,2859.36376953125,0.19161278009414673,0.002476911060512066,1.4002273082733154,0.0
-21216.68805257858,-26262.141486045155,-23867.028182691778,3000.0,100,300000,False,1500000,499,5,0a89ac3b1b034104936351c768f5b0dd,2020-03-24_18-40-27,1585089627,2992.3560314178467,15537.618725299835,19633,153smart-06,132.206.238.54,15537.618725299835,1500000,5,2,452a8f64,-5966.757045672949,19.073130517382097,0.5554391941778839,0.5032840661458094,6000000,1500000,3022800.135,438.054,83938.016,74.057,27.900632466619815,30.762052002810965,0.012500000186264515,4.999999873689376e-05,2636.46484375,-0.0005214597331359982,2636.465087890625,0.21953439712524414,0.0038433680310845375,1.3916525840759277,0.0
-21181.09787029121,-26929.44829171552,-23436.637568586037,3000.0,100,300000,False,1800000,599,6,0a89ac3b1b034104936351c768f5b0dd,2020-03-24_19-29-47,1585092587,2959.88427400589,18497.502999305725,19633,153smart-06,132.206.238.54,18497.502999305725,1800000,6,2,452a8f64,-5859.15939214651,18.907356404447338,0.5548893506568952,0.5012028414572984,7200000,1800000,2998106.134,433.617,84043.137,62.119,27.88629261363636,30.748319128787877,0.0062500000931322575,4.999999873689376e-05,2545.472412109375,-0.0004712308291345835,2545.47314453125,0.23649783432483673,0.0042318799532949924,1.3830219507217407,0.0
-19989.645659979018,-24976.537320957923,-22314.217380944556,3000.0,100,300000,False,2100000,699,7,0a89ac3b1b034104936351c768f5b0dd,2020-03-24_20-18-13,1585095493,2906.3362894058228,21403.839288711548,19633,153smart-06,132.206.238.54,21403.839288711548,2100000,7,2,452a8f64,-5578.554345236135,18.742742157893563,0.5548949779283645,0.5009027052990811,8400000,2100000,2972635.479,425.007,84304.199,53.567,30.27651314203038,32.653002170243546,0.0031250000465661287,4.999999873689376e-05,2240.3115234375,-0.000548908778000623,2240.31201171875,0.26393505930900574,0.004202697426080704,1.3756544589996338,0.0
-18616.952853956278,-23965.74657342641,-21090.698990166085,3000.0,100,300000,False,2400000,799,8,0a89ac3b1b034104936351c768f5b0dd,2020-03-24_21-06-13,1585098373,2880.007130384445,24283.846419095993,19633,153smart-06,132.206.238.54,24283.846419095993,2400000,8,2,452a8f64,-5272.674747541519,18.5926436623543,0.555444826643806,0.5016363647806129,9600000,2400000,2950386.868,423.3,84351.102,47.129,33.977542579075426,36.74270072992701,0.0015625000232830644,4.999999873689376e-05,1942.505126953125,-0.0008158121490851045,1942.5059814453125,0.29006269574165344,0.007377263158559799,1.3668384552001953,0.0
-16520.1630228298,-22390.562091870997,-19358.53719106335,3000.0,100,300000,False,2700000,899,9,0a89ac3b1b034104936351c768f5b0dd,2020-03-24_21-52-14,1585101134,2760.3835484981537,27044.229967594147,19633,153smart-06,132.206.238.54,27044.229967594147,2700000,9,2,452a8f64,-4839.634297765835,18.38428426126162,0.5556023958297942,0.5016227445182488,10800000,2700000,2919771.677,420.158,84408.517,42.157,32.78938547486034,36.85657694261047,0.0007812500116415322,4.999999873689376e-05,1590.044189453125,-0.0005860789096914232,1590.0445556640625,0.31058207154273987,0.006034987512975931,1.3550028800964355,0.0
-13873.947267189113,-20307.600619748235,-16969.38014484699,3000.0,100,300000,True,3000000,999,10,0a89ac3b1b034104936351c768f5b0dd,2020-03-24_22-36-28,1585103788,2654.771636247635,29699.00160384178,19633,153smart-06,132.206.238.54,29699.00160384178,3000000,10,2,452a8f64,-4242.345036211746,18.151891860361914,0.5559289974253576,0.5017626278668281,12000000,3000000,2884436.633,419.608,84732.43,38.184,33.74109263657957,36.838031142781745,0.0003906250058207661,4.999999873689376e-05,1160.4739990234375,-0.0006431653164327145,1160.4747314453125,0.3518032431602478,0.006774621549993753,1.3238131999969482,0.0
